code_value,code,code_name,is_popular
1,CUI,American,false
2,CUI,French,false
3,CUI,Italian,false
4,CUI,Seafood,false
5,CUI,Indian,false
6,CUI,Asian,false
7,CUI,Pan Pacific,false
8,CUI,Mexican,false
9,CUI,Greek,false
10,CUI,Thai,false
11,CUI,Chinese,false
12,CUI,Vietnamese,false
13,CUI,Middle Eastern,false
14,CUI,Japanese,false
15,CUI,Moroccan,false
16,CUI,Deli,false
17,CUI,European,false
18,CUI,Ethiopian,false
19,CUI,Spanish,false
20,CUI,Tapas,false
21,CUI,Afghan,false
22,CUI,Turkish,false
23,CUI,Russian,false
24,CUI,German,false
25,CUI,Southwest,false
26,CUI,TexMex,false
27,CUI,California,false
28,CUI,Hawaiian,false
29,CUI,Irish,false
30,CUI,Scottish,false
31,CUI,English,false
32,CUI,Lebanese,false
33,CUI,Argentinean,false
34,CUI,Brazilian,false
35,CUI,Caribbean,false
36,CUI,Mongolian,false
37,CUI,Southern,false
38,CUI,Soul food,false
39,CUI,Barbeque,false
40,CUI,Cajun,false
41,CUI,Creole,false
42,CUI,Korean,false
43,CUI,Latin American,false
44,CUI,Steak houses,false
45,CUI,Coffee shop,false
46,CUI,Continental,false
47,CUI,Eclectic,false
48,CUI,Fast food,false
49,CUI,International,false
50,CUI,Jewish,false
51,CUI,Mediterranean,false
52,CUI,Other,false
53,CUI,Pizza,false
54,CUI,Sandwiches,false
55,CUI,South American,false
56,CUI,Swiss,false
57,CUI,Vegetarian,false
58,CUI,Halal,false
59,CUI,Asian-Fusion,false
60,CUI,Pub,false
61,CUI,Bavarian,false
62,CUI,High-tea,false
63,CUI,Muslim,false
64,CUI,Polynesian,false
65,CUI,Scandinavian,false
66,CUI,Austrian,false
67,CUI,Modern Australian,false
68,CUI,Kosher,false
69,CUI,Pacific rim,false
70,CUI,Mixed - cafeteria,false
71,CUI,Iranian,false
72,CUI,Modern Azerbaijan,false
73,CUI,Indonesian,false
74,CUI,Grill,false
75,CUI,Canadian,false
76,CUI,Polish,false
77,CUI,Multiple,false
78,CUI,African,false
79,CUI,Belgian,false
80,CUI,Portuguese,false
81,CUI,Country fare,false
82,CUI,Australian,false
83,CUI,Cantonese,false
84,CUI,Columbian,false
85,CUI,Cuban,false
86,CUI,Dim Sum,false
87,CUI,Fusion,false
88,CUI,Global,false
89,CUI,Hamburgers,false
90,CUI,Hungarian,false
91,CUI,Icelandic,false
92,CUI,Mandarin,false
93,CUI,New England,false
94,CUI,Oriental,false
95,CUI,Pan-Asian,false
96,CUI,Puerto Rican,false
97,CUI,Steak and seafood,false
98,CUI,Sushi,false
99,CUI,Swedish,false
100,CUI,Taiwanese,false
101,CUI,Tandoori,false
102,CUI,Tibetan,false
103,CUI,Hawaiian,false
104,CUI,Locally Inspired,false
105,CUI,Author Cuisine,false
106,CUI,Szechwan,false
107,CUI,Gluten-free,false
108,CUI,Lactose-free,false
109,CUI,Eritrean,false
110,CUI,Burmese,false
111,CUI,Vegan,false
112,CUI,Raw,false
113,CUI,East European,false
114,CUI,Egyptian,false
115,CUI,Kenyan,false
116,CUI,Light fare,false
117,CUI,Malaysian,false
118,CUI,Nigerian,false
119,CUI,Nordic,false
120,CUI,Nouvelle cuisine,false
121,CUI,Peruvian,false
122,CUI,South-East Asian,false
123,CUI,Street food,false
